org.jmlp.classify.svm_struct.source.svm_struct_main INFO  2014-09-11 18:12:47323  Reading training examples...
org.jmlp.classify.svm_struct.source.svm_struct_api INFO  2014-09-11 18:12:51962  target:[D@17d59ff0
org.jmlp.classify.svm_struct.source.svm_struct_api INFO  2014-09-11 18:12:51962  totwords:224553
org.jmlp.classify.svm_struct.source.svm_struct_api INFO  2014-09-11 18:12:51962  n:5905
org.jmlp.classify.svm_struct.source.svm_struct_api INFO  2014-09-11 18:12:51962  test[0]=160:1.0 190:8.0 191:4.0 192:2.0 193:1.0 194:1.0 195:1.0 196:1.0 197:2.0 198:1.0 199:1.0 200:1.0 201:2.0 202:1.0 203:1.0 204:1.0 205:1.0 206:1.0 207:2.0 208:2.0 209:1.0 210:1.0
org.jmlp.classify.svm_struct.source.svm_struct_api INFO  2014-09-11 18:12:51962  test[1]=81:7.0 89:1.0 115:3.0 277:2.0 278:2.0 279:1.0 280:1.0 281:1.0 282:1.0 283:1.0 284:1.0 285:1.0 286:1.0 287:5.0 288:3.0 289:1.0 290:1.0 291:1.0 292:1.0 293:1.0 294:1.0 295:1.0 296:1.0 297:1.0 298:1.0 299:1.0 300:1.0
org.jmlp.classify.svm_struct.source.svm_struct_api INFO  2014-09-11 18:12:51962  test[2]=171:2.0 172:3.0 368:1.0 510:4.0 511:4.0 512:4.0 513:4.0 514:4.0 515:4.0 516:4.0 517:2.0 518:2.0 519:1.0 520:1.0 521:1.0 522:1.0 523:1.0 524:1.0 525:1.0 526:1.0 527:1.0 528:1.0 529:1.0 530:1.0 531:1.0 532:1.0
org.jmlp.classify.svm_struct.source.svm_struct_api INFO  2014-09-11 18:12:51962  test[3]=553:1.0 554:1.0 555:1.0 556:1.0 557:1.0 558:1.0 559:1.0 560:1.0 561:1.0 562:1.0 563:1.0 564:1.0 565:1.0 566:1.0 567:1.0 568:1.0 569:1.0 570:1.0 571:1.0 572:1.0 573:1.0 574:1.0 575:1.0 576:1.0 577:1.0
org.jmlp.classify.svm_struct.source.svm_struct_api INFO  2014-09-11 18:12:51962  test[4]=29:1.0 71:1.0 211:1.0 212:1.0 243:1.0 339:1.0 796:1.0 797:1.0 798:1.0 799:1.0 800:1.0 801:1.0 802:1.0 803:1.0 804:1.0 805:1.0 806:1.0 807:1.0 808:1.0 809:1.0 810:1.0 811:1.0
org.jmlp.classify.svm_struct.source.svm_struct_api INFO  2014-09-11 18:12:51962  test[5]=52:1.0 74:1.0 140:1.0 166:1.0 387:1.0 592:1.0 824:1.0 825:1.0 826:1.0 827:1.0 828:1.0 829:1.0 830:1.0 831:1.0 832:1.0 833:1.0 834:1.0 835:1.0 836:1.0 837:1.0 838:1.0 839:1.0 840:1.0
org.jmlp.classify.svm_struct.source.svm_struct_api INFO  2014-09-11 18:12:51972  test[6]=29:3.0 40:1.0 47:22.0 52:3.0 53:1.0 57:1.0 58:2.0 105:1.0 110:2.0 130:1.0 140:1.0 148:2.0 215:1.0 254:1.0 275:1.0 282:1.0 411:7.0 440:2.0 494:11.0 595:9.0 596:9.0 629:1.0 676:1.0 864:3.0 865:3.0 866:3.0 867:2.0 868:2.0 869:2.0 870:2.0 871:3.0 872:2.0 873:2.0 874:4.0 875:2.0 876:2.0 877:4.0 878:2.0 879:2.0 880:2.0 881:2.0 882:2.0 883:2.0 884:2.0 885:2.0 886:2.0 887:2.0 888:2.0 889:2.0 890:3.0 891:3.0 892:3.0 893:3.0 894:2.0 895:2.0 896:2.0 897:1.0 898:1.0 899:2.0 900:1.0 901:1.0 902:1.0 903:1.0 904:1.0 905:1.0 906:1.0 907:1.0 908:1.0 909:1.0 910:1.0 911:1.0 912:1.0 913:1.0 914:1.0 915:1.0 916:1.0 917:1.0 918:1.0 919:1.0 920:1.0 921:1.0 922:1.0 923:2.0 924:2.0 925:2.0 926:1.0 927:1.0 928:1.0 929:1.0 930:1.0 931:1.0 932:1.0 933:1.0 934:1.0 935:1.0 936:1.0 937:1.0 938:1.0 939:1.0 940:1.0 941:1.0 942:1.0 943:1.0 944:1.0 945:1.0 946:1.0 947:1.0 948:1.0 949:1.0 950:1.0 951:1.0 952:1.0 953:1.0 954:1.0 955:1.0 956:1.0 957:1.0 958:1.0 959:2.0 960:1.0 961:1.0 962:1.0 963:1.0 964:1.0 965:1.0 966:1.0 967:1.0 968:1.0 969:1.0 970:1.0 971:1.0 972:1.0 973:1.0 974:1.0 975:1.0 976:1.0 977:1.0 978:1.0 979:1.0 980:1.0 981:1.0 982:1.0 983:1.0 984:1.0 985:1.0 986:1.0 987:1.0 988:1.0 989:1.0 990:1.0 991:1.0 992:1.0 993:1.0 994:1.0 995:1.0 996:1.0 997:1.0 998:1.0
org.jmlp.classify.svm_struct.source.svm_struct_api INFO  2014-09-11 18:12:51972  test[7]=71:3.0 160:1.0 211:3.0 212:3.0 222:6.0 339:16.0 393:1.0 404:3.0 494:3.0 513:2.0 800:3.0 802:27.0 804:1.0 1047:3.0 1048:3.0 1049:2.0 1050:6.0 1051:6.0 1052:6.0 1053:4.0 1054:1.0 1055:1.0 1056:2.0 1057:1.0 1058:1.0 1059:1.0 1060:2.0 1061:2.0 1062:2.0 1063:2.0 1064:2.0 1065:1.0 1066:2.0 1067:1.0 1068:1.0 1069:1.0 1070:1.0 1071:1.0 1072:1.0 1073:2.0 1074:2.0 1075:1.0 1076:1.0 1077:1.0 1078:1.0 1079:1.0 1080:1.0 1081:1.0 1082:1.0 1083:1.0 1084:1.0 1085:1.0 1086:1.0 1087:1.0 1088:1.0 1089:1.0 1090:1.0 1091:1.0 1092:1.0 1093:1.0 1094:1.0 1095:1.0 1096:1.0 1097:1.0 1098:1.0
org.jmlp.classify.svm_struct.source.svm_struct_api INFO  2014-09-11 18:12:51972  test[8]=171:2.0 172:3.0 1283:1.0 1351:3.0 1352:3.0 1353:1.0 1354:1.0 1355:1.0 1356:1.0 1357:1.0 1358:1.0 1359:1.0 1360:1.0 1361:1.0 1362:1.0 1363:1.0 1364:1.0
org.jmlp.classify.svm_struct.source.svm_struct_api INFO  2014-09-11 18:12:51972  test[9]=312:1.0 1394:1.0 1395:1.0 1396:1.0 1397:1.0
org.jmlp.classify.svm_struct.source.svm_struct_api INFO  2014-09-11 18:12:51972  test[10]=39:1.0 160:1.0 222:3.0 377:2.0 393:1.0 1073:15.0 1529:1.0 1530:2.0 1531:1.0 1532:1.0 1533:1.0 1534:1.0 1535:1.0 1536:1.0 1537:1.0 1538:1.0 1539:1.0 1540:1.0
org.jmlp.classify.svm_struct.source.svm_struct_api INFO  2014-09-11 18:12:51972  test[11]=74:1.0 160:2.0 170:1.0 377:2.0 393:1.0 789:4.0 1047:20.0 1061:3.0 1544:2.0 1545:3.0 1546:4.0 1547:2.0 1548:1.0 1549:1.0 1550:1.0 1551:1.0 1552:1.0
org.jmlp.classify.svm_struct.source.svm_struct_api INFO  2014-09-11 18:12:51972  test[12]=71:1.0 153:2.0 160:1.0 169:1.0 211:1.0 212:1.0 284:1.0 393:1.0 441:1.0 748:2.0 749:4.0 789:1.0 808:1.0 1047:11.0 1076:1.0 1391:1.0 1412:2.0 1415:2.0 1416:3.0 1417:2.0 1434:1.0 1435:1.0 1510:1.0 1521:1.0 1543:1.0 1544:1.0 1546:1.0 1553:4.0 1554:4.0 1555:4.0 1556:1.0 1557:4.0 1558:1.0 1559:2.0 1560:2.0 1561:2.0 1562:1.0 1563:1.0 1564:1.0 1565:1.0 1566:1.0 1567:1.0 1568:1.0 1569:1.0 1570:1.0 1571:1.0 1572:1.0
org.jmlp.classify.svm_struct.source.svm_struct_api INFO  2014-09-11 18:12:51982  test[13]=153:12.0 162:1.0 163:1.0 169:1.0 675:1.0 748:6.0 749:6.0 1415:1.0 1416:1.0 1417:1.0 1435:4.0 1499:2.0 1511:5.0 1512:1.0 1513:2.0 1514:1.0 1515:1.0 1516:1.0 1517:1.0 1518:1.0 1519:1.0 1520:1.0 1521:1.0 1522:1.0 1523:1.0 1524:1.0 1525:1.0 1526:1.0 1527:1.0 1528:1.0
org.jmlp.classify.svm_struct.source.svm_struct_api INFO  2014-09-11 18:12:51982  test[14]=118:2.0 419:1.0 592:1.0 630:1.0 721:1.0 1047:2.0 1073:2.0 1740:6.0 1741:5.0 1742:5.0 1743:1.0 1744:1.0 1745:1.0 1746:1.0 1747:1.0 1748:1.0 1749:2.0 1750:1.0 1751:1.0 1752:1.0 1753:1.0 1754:1.0 1755:1.0 1756:1.0 1757:1.0 1758:1.0 1759:1.0
org.jmlp.classify.svm_struct.source.svm_struct_api INFO  2014-09-11 18:12:51982  test[15]=789:1.0 1806:1.0
org.jmlp.classify.svm_struct.source.svm_struct_api INFO  2014-09-11 18:12:51982  test[16]=222:3.0 1073:17.0 1530:3.0 1534:2.0 1535:1.0 1536:1.0 1537:1.0 1685:1.0 1807:1.0 1808:1.0 1809:2.0 1810:1.0 1811:1.0 1812:1.0 1813:1.0
org.jmlp.classify.svm_struct.source.svm_struct_api INFO  2014-09-11 18:12:51982  test[17]=153:2.0 154:2.0
org.jmlp.classify.svm_struct.source.svm_struct_api INFO  2014-09-11 18:12:51982  test[18]=160:1.0 1663:3.0 1945:1.0
org.jmlp.classify.svm_struct.source.svm_struct_api INFO  2014-09-11 18:12:51982  test[19]=51:2.0 153:1.0 157:1.0 162:1.0 169:1.0 222:1.0 372:2.0 373:2.0 374:2.0 393:2.0 676:1.0 677:3.0 721:1.0 789:1.0 1047:2.0 1412:3.0 1435:1.0 1758:1.0 1959:1.0 1960:1.0 1961:1.0 1962:1.0 1963:1.0 1964:1.0 1965:3.0 1966:1.0 1967:1.0 1968:1.0 1969:1.0 1970:1.0 1971:1.0 1972:1.0 1973:1.0
org.jmlp.classify.svm_struct.source.svm_struct_api INFO  2014-09-11 18:12:51982  test[20]=108:1.0 171:2.0
org.jmlp.classify.svm_struct.source.svm_struct_api INFO  2014-09-11 18:12:51982  test[21]=39:1.0 51:1.0 160:3.0 170:1.0 377:1.0 387:2.0 414:1.0 417:2.0 494:2.0 538:1.0 595:1.0 596:1.0 1391:1.0 1413:2.0 1479:1.0 2006:3.0 2007:2.0 2008:1.0 2009:1.0 2010:1.0 2011:1.0 2012:1.0 2013:1.0 2014:2.0 2015:1.0 2016:1.0 2017:1.0 2018:1.0 2019:1.0 2020:1.0 2021:1.0 2022:1.0
org.jmlp.classify.svm_struct.source.svm_struct_api INFO  2014-09-11 18:12:51982  test[22]=153:1.0
org.jmlp.classify.svm_struct.source.svm_struct_api INFO  2014-09-11 18:12:51982  test[23]=988:1.0 1073:1.0 2146:1.0 2147:1.0
org.jmlp.classify.svm_struct.source.svm_struct_api INFO  2014-09-11 18:12:51982  test[24]=171:2.0 189:2.0 254:1.0 377:1.0 810:1.0 899:2.0 1047:2.0 1487:3.0 1595:6.0 1596:3.0 1772:1.0 1859:1.0 1868:1.0 2269:1.0 2270:2.0 2271:2.0 2272:1.0 2273:1.0 2274:1.0 2275:1.0 2276:1.0 2277:1.0 2278:1.0 2279:1.0 2280:1.0 2281:1.0 2282:1.0 2283:1.0 2284:1.0 2285:1.0 2286:3.0 2287:1.0 2288:1.0 2289:1.0 2290:2.0 2291:1.0 2292:1.0 2293:1.0 2294:1.0 2295:1.0 2296:1.0 2297:1.0 2298:2.0 2299:1.0 2300:1.0 2301:1.0 2302:1.0 2303:1.0 2304:1.0 2305:1.0 2306:1.0 2307:1.0
org.jmlp.classify.svm_struct.source.svm_struct_api INFO  2014-09-11 18:12:51982  test[25]=90:2.0 135:1.0 446:1.0 513:1.0 1073:3.0 2308:1.0 2309:1.0 2310:2.0 2311:1.0 2312:1.0
